Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
18-03-2023,73.50675,114.9675,19.23068182,11.23022727,13.55590909,0.624545455,13.06204545,86
19-03-2023,,,,,,,,56
20-03-2023,32.5275,61.7165,14.131,10.6715,12.14266667,0.5084375,9.9795,46
21-03-2023,43.01615079,66.97103175,15.73325397,10.76956349,13.10246032,0.609920635,13.7018254,56
22-03-2023,24.98865385,41.19,8.640961538,9.988461538,12.30423077,0.2675,9.407115385,46
23-03-2023,38.24232143,75.03357143,27.7325,12.57821429,14.48982143,0.821785714,25.45696429,53
24-03-2023,56.72235294,112.1142647,21.10029412,11.14411765,14.35691176,0.967647059,20.97661765,82
25-03-2023,41.49846154,83.04641026,29.67269231,11.95576923,13.49711538,0.643630952,48.70237179,78
26-03-2023,47.20958333,90.35277778,18.19861111,11.13027778,13.22375,0.424444444,25.67152778,80
27-03-2023,25.69708333,66.34333333,7.155,10.08125,12.88541667,0.1175,25.30916667,50
28-03-2023,33.03678571,73.64964286,29.31607143,12.12285714,15.16821429,0.549285714,26.79821429,75
29-03-2023,45.3,97.39458333,38.86614583,12.7896875,15.17875,0.875416667,18.04802083,75
30-03-2023,50.4096875,111.0388542,41.49541667,12.90760417,15.02739583,0.859479167,26.94833333,96
31-03-2023,26.31295455,53.93011364,20.96420455,10.71909091,19.47939394,0.312954545,15.12295455,56
01-04-2023,27.8635,55.19866667,26.83875,12.1640625,14.393125,0.603676471,16.88875,35
02-04-2023,39.0046875,68.44385417,17.46,10.7209375,13.05822917,0.46625,17.611875,61
03-04-2023,36.26193182,74.95204545,28.90554348,13.20460145,10.91246377,1.097789855,23.47492754,52
04-04-2023,40.09833333,109.1345833,32.31947368,11.00241228,15.74640351,0.593026316,24.85899123,78
05-04-2023,28.14229167,74.3275,21.64020833,10.75302083,16.79041667,0.263020833,14.434375,66
06-04-2023,34.75072917,84.43104167,34.86125,11.8490625,16.34625,0.502291667,18.13260417,82
07-04-2023,32.80760417,89.01520833,30.41270833,11.544375,15.16364583,0.384895833,23.65770833,76
08-04-2023,38.9709375,102.3342708,36.90416667,12.05666667,15.36947917,0.516041667,25.05083333,90
09-04-2023,35.88177083,97.40760417,31.96,11.69291667,15.76885417,0.452708333,26.45572917,100
10-04-2023,32.45125,100.9433333,26.70833333,12.36708333,16.72416667,0.516666667,28.43125,94
11-04-2023,29.44068182,85.31568182,28.985625,11.42645833,14.95770833,0.352916667,41.00833333,87
12-04-2023,36.70763158,98.79934211,29.147875,11.472875,15.091,0.38075,28.587125,88
13-04-2023,37.5996875,105.7364583,36.395625,12.473125,15.76083333,0.7059375,30.36833333,98
14-04-2023,41.176875,107.599,49.98741667,12.40675,17.27233333,0.831791667,24.28475,98
15-04-2023,55.29770833,141.8210417,47.95666667,13.06583333,16.7725,0.855833333,25.44,104
16-04-2023,,,,,,,,87
17-04-2023,39.84270833,113.5441667,44.35807692,14.31346154,16.15,1.332884615,43.24019231,99
18-04-2023,35.7875,96.39927083,38.91270833,11.9453125,15.69541667,0.614166667,28.56416667,97
19-04-2023,34.17214286,95.56261905,23.21076087,11.29532609,18.41673913,0.307173913,35.70224638,84
20-04-2023,35.0125,106.7511111,24.19847222,11.00027778,33.23875,0.361666667,25.24425,85
21-04-2023,23.50214286,79.47714286,14.23285714,11.05446429,8.03375,0.127321429,37.61571429,71
22-04-2023,24.96722222,58.68694444,35.56333333,13.20055556,8.733888889,0.375277778,36.0525,52
23-04-2023,22.6009375,77.41072917,20.86270833,11.69489583,8.389375,0.153125,43.44395833,56
24-04-2023,26.49742754,66.75985507,16.90694444,11.36784722,8.298819444,0.276388889,46.48201389,66
25-04-2023,29.19125,51.69822917,27.23395833,12.35072917,8.613541667,0.579270833,62.83586806,64
26-04-2023,49.83979167,87.18989583,35.74927083,13.1146875,10.00916667,0.712916667,62.38475694,104
27-04-2023,24.2315625,52.75385417,24.23822917,12.09427083,9.145833333,0.401666667,58.66440972,62
28-04-2023,28.25083333,62.99322917,23.21645833,11.920625,9.337291667,0.288645833,52.7075,65
29-04-2023,18.813125,44.4253125,16.84,11.17666667,9.722083333,0.245416667,46.74666667,50
30-04-2023,23.73954545,73.54431818,14.47854167,11.04760417,9.420104167,0.205,32.64354167,47
01-05-2023,23.90291667,97.765,16.50369048,11.18845238,13.38142857,0.370238095,39.98420635,59
02-05-2023,22.84034091,44.59852273,17.61613636,11.48568182,10.20840909,0.327173913,47.04094697,49
03-05-2023,22.753875,43.88225,14.81847826,11.27695652,9.103695652,0.214673913,55.28397727,50
04-05-2023,17.87535714,31.20702381,8.966979167,10.5934375,8.339270833,0.174791667,47.28729167,49
05-05-2023,30.00635417,48.82166667,17.351875,11.36270833,8.824375,0.310833333,46.18625,52
06-05-2023,39.0234375,69.164375,21.11104167,11.66208333,9.880625,0.349895833,50.80545139,55
07-05-2023,34.0675,73.05208333,28.45895833,12.87645833,8.994479167,0.635625,46.11899306,60
08-05-2023,46.04575,100.4467045,42.75851449,13.38467391,11.85152174,1.08923913,35.18202899,73
09-05-2023,34.10822917,81.85572917,28.07458333,11.82666667,9.91375,0.425520833,40.79958333,70
10-05-2023,28.38583333,77.23882353,23.07558824,11.7825,9.104901961,0.305,50.53117647,62
11-05-2023,32.5740625,77.0315625,34.18791667,13.961875,9.967604167,0.946458333,52.57739583,70
12-05-2023,51.91608696,116.8279348,58.9778125,14.61625,12.9078125,1.506041667,46.94104167,82
13-05-2023,52.62739583,110.6661458,44.03375,13.73260417,12.29510417,1.05625,49.26104167,81
14-05-2023,44.8603125,101.8833333,29.606875,12.60208333,11.41447917,0.822291667,55.35072917,79
15-05-2023,46.17852273,130.9529545,41.82871212,13.85534091,12.78026515,1.394772727,46.49966667,76
16-05-2023,38.04885417,106.6213542,28.66354167,11.785,13.24395833,0.509479167,50.24114583,89
17-05-2023,43.20895833,165.2804167,29.5171875,12.80510417,11.15364583,0.95625,45.3621875,91
18-05-2023,34.0878125,123.5760417,16.48364583,10.88572917,12.22489583,0.3484375,59.02041667,89
19-05-2023,32.88927083,98.65364583,21.3534375,11.6475,10.3903125,0.3590625,52.63763889,73
20-05-2023,34.5525,115.7275,41.94442982,13.33574561,11.58302632,0.575921053,34.74504386,71
21-05-2023,37.1546875,101.6951042,38.08291667,13.31270833,12.00916667,0.787708333,50.07322917,74
22-05-2023,41.0778125,110.8190625,28.11989583,12.07416667,13.89197917,0.6834375,54.9659375,82
23-05-2023,28.63854167,88.47617647,14.92791667,10.96958333,11.84270833,0.306875,79.88885417,68
24-05-2023,31.09302083,111.59875,17.0215625,11.14395833,10.89135417,0.405,65.40784091,53
25-05-2023,41.6165,88.753,12.40172222,10.83561111,10.08977778,0.274635417,60.54533333,67
26-05-2023,28.12630435,59.93206522,13.8709375,10.96895833,9.437708333,0.225208333,63.44315217,62
27-05-2023,29.12677083,65.22197917,16.3709375,11.20739583,9.378854167,0.281666667,69.36145833,66
28-05-2023,35.25543478,97.77479167,13.77875,10.84,10.02885417,0.201041667,61.70756944,79
29-05-2023,38.21770833,90.70822917,20.58739583,11.44333333,9.401979167,0.462604167,63.28992063,83
30-05-2023,43.05738636,95.22760417,15.9253125,10.66145833,18.47552083,0.318958333,42.64638889,96
31-05-2023,34.397125,82.9925,20.62552083,10.76541667,26.0709375,0.293958333,22.59395833,85
01-06-2023,32.18596491,88.32144737,14.96742754,10.73293478,9.44192029,0.119384058,37.43318841,78
02-06-2023,30.89208333,79.12208333,16.74291667,10.94447917,10.66979167,0.209270833,41.0846875,75
03-06-2023,31.83427083,81.55479167,21.5753125,11.3709375,10.4603125,0.270416667,39.77020833,86
04-06-2023,37.76260417,112.06125,22.81208333,11.54354167,10.88864583,0.255416667,46.76111111,112
05-06-2023,29.83364583,75.5253125,20.273125,11.3240625,10.07177083,0.3625,47.42659722,72
06-06-2023,43.97385417,101.8254167,16.77916667,10.7384375,19.6115625,0.251979167,44.77777778,107
07-06-2023,46.21147727,100.21375,30.51395833,11.42770833,29.30104167,0.502083333,37.74470588,100
08-06-2023,45.19895833,120.6875,20.86927083,11.2253125,13.12322917,0.2884375,44.23583333,100
09-06-2023,39.56677083,119.2939583,22.91510417,11.36739583,12.304375,0.274583333,42.94708333,109
10-06-2023,38.80833333,101.9167708,28.87291667,11.98947917,12.17166667,0.445520833,45.83385417,100
11-06-2023,40.20895833,124.238125,25.32145833,11.51322917,12.26270833,0.341875,53.68361111,92
12-06-2023,41.44142857,143.0539286,23.36014493,11.49481884,13.77416667,0.451956522,47.60028986,93
13-06-2023,37.1784375,124.3090625,16.95489583,10.71760417,11.5084375,0.531354167,48.30239583,110
14-06-2023,24.74677083,92.49177083,12.03166667,10.44302083,11.999375,0.368333333,51.18735507,81
15-06-2023,22.97693182,74.44202381,12.06445652,10.42293478,12.80336957,0.337604167,28.70684783,74
16-06-2023,26.32333333,79.94854167,12.17520833,10.43989583,11.1378125,0.4028125,50.35430556,70
17-06-2023,28.11520833,72.22354167,19.14354167,11.04020833,11.46979167,0.490416667,52.71361111,71
18-06-2023,29.16020833,72.52510417,17.58822917,10.9965625,10.66125,0.5640625,54.19543478,74
19-06-2023,34.94902174,80.23695652,23.48717391,11.45576087,14.745,0.761195652,49.86746212,72
20-06-2023,25.84958333,61.26833333,15.52820833,10.39345833,22.53633333,0.5995,28.08355263,57
21-06-2023,23.06864583,58.07822917,16.97,10.3740625,30.32177083,0.599375,30.27803571,56
22-06-2023,27.40228261,58.62695652,20.29447917,10.8378125,11.89628472,0.746111111,45.65064394,46
23-06-2023,30.15552083,56.12229167,19.028125,11.35666667,12.94010417,0.6253125,47.75275362,60
24-06-2023,22.24166667,42.515125,10.95599206,10.34690476,12.29150794,0.494246032,13.43075397,51
25-06-2023,21.50613636,54.95181818,19.35354167,10.98270833,12.59041667,0.709652778,14.38625,50
26-06-2023,18.82166667,47.90885417,12.99645833,10.3571875,17.80979167,0.579583333,10.51520833,42
27-06-2023,15.17054348,31.09347826,14.68979167,10.2171875,28.06364583,0.593958333,8.8428125,41
28-06-2023,17.40113636,38.02886364,10.26163043,10.30293478,10.72206522,0.550625,12.37119565,41
29-06-2023,11.57839286,48.54660714,10.59597222,10.16069444,11.85069444,0.441413043,11.595,36
30-06-2023,14.22416667,97.86333333,15.00583333,10.15104167,13.29166667,0.697847222,17.925,36
01-07-2023,11.7034058,21.76289855,11.82020833,10.83777778,13.08361111,0.631701389,2.971527778,34
02-07-2023,10.9090625,24.10177083,9.256458333,10.55822917,10.6271875,0.521041667,2.963958333,32
03-07-2023,19.28013158,43.53205882,13.07395833,10.45989583,14.5946875,0.6965625,4.117708333,42
04-07-2023,15.681,37.49366667,14.2762037,10.35259259,15.71481481,0.740833333,9.006898148,40
05-07-2023,19.90836957,35.94141304,12.0475,10.74635417,16.1690625,0.6609375,11.33635417,38
06-07-2023,14.45532609,32.59065217,10.07385417,10.0678125,15.48364583,0.619930556,33.66894928,45
07-07-2023,12.57708333,26.035625,8.124236111,10.28729167,15.49177083,0.532916667,5.2653125,32
08-07-2023,12.35626812,29.28865942,13.95385417,10.53215278,12.88350694,0.743298611,5.087673611,32
09-07-2023,15.80239583,36.04072917,14.02677083,10.64729167,12.68770833,0.6403125,6.12625,42
10-07-2023,11.3725,25.90326087,9.881666667,10.33447917,13.47739583,0.646041667,5.883333333,32
11-07-2023,11.72147727,27.13967391,11.94638889,10.35961806,11.41354167,0.568263889,6.948402778,32
12-07-2023,16.8565625,34.73958333,15.14916667,10.6196875,11.395,0.671666667,8.026354167,39
13-07-2023,16.24590909,36.40477273,12.93144928,10.40228261,11.71130435,0.501493056,8.09673913,44
14-07-2023,15.08375,31.46479167,11.08083333,10.40666667,11.0221875,0.563229167,8.881145833,38
15-07-2023,12.9851087,25.98065217,11.12552083,10.4090625,11.48385417,0.579166667,9.188958333,30
16-07-2023,10.81010417,20.2103125,7.859375,10.0778125,11.13395833,0.535729167,7.438333333,32
17-07-2023,14.71479167,28.17645833,7.622048611,10.07520833,11.95291667,0.618125,8.973854167,31
18-07-2023,14.70359649,30.00092593,5.949166667,6.539246032,14.88916667,0.601666667,8.728769841,33
19-07-2023,16.03625,29.6225,4.336325758,4.30875,12.67864583,0.586770833,8.648645833,34
20-07-2023,12.77041667,28.08166667,4.759094203,4.292604167,11.8696875,0.565104167,8.801041667,31
21-07-2023,9.767391304,25.23086957,7.65173913,3.837291667,14.5578125,0.493229167,17.66065972,28
22-07-2023,9.160833333,23.74,13.63145833,3.940208333,11.78770833,0.525,30.419375,30
23-07-2023,8.878645833,23.04416667,12.81729167,3.889270833,11.44833333,0.457916667,33.02121528,31
24-07-2023,11.06583333,25.25041667,15.7578125,4.1853125,12.40354167,0.546041667,35.1971875,36
25-07-2023,12.51181818,33.13931818,16.89916667,4.2384375,11.90645833,0.584270833,29.53979167,33
26-07-2023,11.25875,30.77375,14.85302083,3.941354167,11.83375,0.547083333,26.07114583,32
27-07-2023,9.956086957,26.788,13.86197917,3.823958333,12.23375,0.483541667,28.90302083,29
28-07-2023,12.41104167,33.32916667,17.58333333,4.081354167,12.47427083,0.764791667,34.05211806,34
29-07-2023,12.32125,26.045,14.49364583,3.795833333,11.51104167,0.505208333,33.12715278,34
30-07-2023,12.392,20.5045,11.33145833,3.641666667,10.41979167,0.3678125,41.31951389,37
31-07-2023,10.78375,16.977,10.09854167,3.5434375,10.10052083,0.315,59.86048611,36
01-08-2023,14.30636364,22.14272727,8.220104167,3.425729167,11.10072917,0.297708333,53.25458333,32
02-08-2023,9.112678571,18.80857143,13.57635417,3.725416667,12.87385417,0.603958333,24.58452899,42
03-08-2023,8.171956522,17.25652174,11.94510417,3.666770833,13.13197917,0.546458333,23.73465909,34
04-08-2023,9.908333333,28.68333333,13.28239583,4.672708333,19.61947917,0.713854167,39.02572917,32
05-08-2023,9.665833333,23.91875,19.33458333,3.9228125,25.82947917,0.783958333,15.79458333,33
06-08-2023,11.70416667,18.40625,11.08739583,3.735520833,10.88541667,0.4278125,6.456722222,28
07-08-2023,11.40625,26.51291667,10.3728125,3.918854167,12.68114583,0.437916667,31.2875641,24
08-08-2023,14.40181818,39.75909091,14.05427083,3.858645833,11.560625,0.480104167,21.99989583,35
09-08-2023,15.61956522,42.74163043,12.31479167,3.882291667,14.91,0.473020833,18.0928125,83
10-08-2023,18.7573913,48.50782609,13.41802083,3.795625,12.78625,0.5,17.88760417,47
11-08-2023,19.66458333,51.65166667,11.69979167,3.755833333,12.1503125,0.426458333,30.59460145,46
12-08-2023,16.50329545,47.25818182,12.11510417,4.015520833,12.49822917,0.406006944,57.4969697,55
13-08-2023,14.35625,42.05833333,13.01729167,4.247708333,12.20041667,0.4546875,51.21701389,41
14-08-2023,15.09795455,40.15181818,15.74802083,4.051770833,14.3784375,0.548680556,51.33284722,57
15-08-2023,14.88583333,37.56875,12.63510417,3.89875,12.6184375,0.4140625,58.56090278,45
16-08-2023,14.6525,38.69291667,12.3603125,3.877708333,14.3296875,0.427708333,56.24518939,41
